URL,MobileURL,Date,Title,Relevant
http://www.newson6.com/story/36753295/police-man-fatally-shot-by-teen-stepson-in-midtown-tulsa,,11/3/17 10:45,"Man Shot , Killed By Stepson Inside Tulsa Home , Police Say - NewsOn6 . com - Tulsa , OK - News , Weather , Video and Sports - KOTV . com",T
http://www.wnem.com/story/36754611/couple-charged-in-accidental-shooting-of-2-kids,,11/3/17 13:00,Couple charged in accidental shooting of 2 kids,F
http://www.eurweb.com/2017/11/teen-killed-by-homophobic-dad-hed-rather-have-a-dead-son-than-a-gay-son/,http://www.eurweb.com/2017/11/teen-killed-by-homophobic-dad-hed-rather-have-a-dead-son-than-a-gay-son/amp/,11/8/17 11:15,Teen Killed By Homophobic Dad :  Hed Rather Have A Dead Son Than A Gay Son ! ,F
http://freerepublic.com/focus/f-news/3603005/posts,,11/9/17 2:15,"Senator Murray , Senate Democrats Introduce Assault Weapons Ban",F
http://www.twincities.com/2017/11/02/no-charges-against-crystal-police-officers-in-non-fatal-park-shooting/,http://www.twincities.com/2017/11/02/no-charges-against-crystal-police-officers-in-non-fatal-park-shooting/amp/,11/3/17 0:30,No charges against Crystal police officers in non - fatal park shooting – Twin Cities,F
http://www.clarionledger.com/story/news/local/2017/11/01/russian-roulette-leaves-teen-critically-injured/821580001/,https://amp.clarionledger.com/amp/821580001,11/1/17 23:15,Columbus teen injured in Russian Roulette,T
http://www.abcactionnews.com/news/region-polk/lakeland/officers-kill-a-71-year-old-lakeland-man-carrying-a-shotgun-who-allegedly-his-threatened-neighbors,http://amp.abcactionnews.com/2389467521/officers-kill-a-71-year-old-lakeland-man-carrying-a-shotgun-who-allegedly-his-threatened-neighbors.html,11/3/17 11:45,Officers kill a 71 - year - old Lakeland man carrying a shotgun who allegedly threatened his neighbors,F
http://www.wptv.com/news/state/florida-officers-fatally-shoot-71-year-old-lakeland-man-carrying-a-shotgun,http://amp.wptv.com/2389488775/florida-officers-fatally-shoot-71-year-old-lakeland-man-carrying-a-shotgun.html,11/3/17 10:15,Florida officers fatally shoot 71 - year - old Lakeland man carrying shotgun,F
http://hosted.ap.org/dynamic/stories/U/US_CHURCH_SHOOTING_TEXAS_GUN_LAWS?SITE=MAHYC&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-11-07-14-30-39,,11/7/17 21:45,CapeCodTimes . com,F
http://customwire.ap.org/dynamic/stories/U/US_CHURCH_SHOOTING_TEXAS_GUN_LAWS?SITE=NDBIS&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-11-07-14-30-39,,11/7/17 22:00,Bismarck Tribune Online,F
http://www.starherald.com/news/regional_statewide/lincoln-teen-accused-of-holding-handgun-to-girl-s-head/article_39a5e7c5-5cb6-51c7-9f0e-34c9dd5a6217.html,,11/10/17 15:30,Lincoln teen accused of holding handgun to girl head | Regional / Statewide,T
http://kfoxtv.com/news/local/gun-owners-urged-to-practice-good-gun-safety,,11/10/17 23:45,Gun owners urged to practice good gun safety,F
http://cbs4local.com/news/local/gun-owners-urged-to-practice-correct-gun-safety,,11/11/17 2:45,Gun owners urged to practice correct gun safety,F
